6,7,1,-7,2,4,,,,,,
6,8,2,-7,2,5,,,,,,
10,12,2,-11,4,7,,,,,,
14,16,2,-15,6,9,,,,,,
16,19,3,-18,6,11,,,,,,
17,20,3,-19,7,11,,,,,,
14,17,3,-16,5,10,,,,,,
1,3,2,-2,-1,2,,,,,,
0,2,2,-1,-1,2,,,,,,
8,9,1,-9,3,5,,,,,,
12,13,1,-13,5,7,,,,,,
11,12,1,-12,5,6,,,,,,
4,4,0,-4,2,2,,,,,,
4,3,-1,-3,2,1,,,,,,
6,5,-1,-5,3,2,,,,,,
10,12,2,-11,4,7,,,,,,
11,15,4,-13,3,9,,,,,,
10,15,5,-13,2,10,,,,,,
14,19,5,-17,4,12,,,,,,
15,20,5,-18,5,12,,,,,,
12,18,6,-15,3,12,,,,,,
4,9,5,-7,-1,7,,,,,,
-4,0,4,2,-4,2,,,,,,
-7,-4,3,5,-5,0,,,,,,
-5,-3,2,4,-3,0,,,,,,
2,2,0,-2,1,1,,,,,,
2,3,1,-3,0,2,,,,,,
3,4,1,-4,1,2,,,,,,
3,4,1,-4,1,2,,,,,,
-6,-3,3,4,-4,0,,,,,,
-12,-8,4,10,-8,-2,,,,,,
0,3,3,-2,-2,3,,,,,,
11,15,4,-13,3,9,,,,,,
22,27,5,-25,8,16,,,,,,
13,18,5,-16,4,11,,,,,,
4,9,5,-7,-1,7,,,,,,
-3,2,5,0,-4,3,,,,,,
-14,-8,6,11,-10,-1,,,,,,
-20,-14,6,17,-13,-4,,,,,,
-11,-6,5,8,-8,0,,,,,,
-1,2,3,-1,-2,2,,,,,,
8,10,2,-9,3,6,,,,,,
11,13,2,-12,4,7,,,,,,
10,11,1,-11,4,6,,,,,,
6,4,-2,-5,4,1,,,,,,
11,7,-4,-9,7,1,,,,,,
15,10,-5,-12,10,2,,,,,,
16,12,-4,-14,10,4,,,,,,
10,8,-2,-9,6,3,,,,,,
-2,-1,1,1,-1,0,,,,,,
0,2,2,-1,-1,2,,,,,,
5,8,3,-7,1,5,,,,,,
15,18,3,-17,6,10,,,,,,
7,10,3,-9,2,6,,,,,,
-1,1,2,0,-2,1,,,,,,
4,4,0,-4,2,2,,,,,,
6,4,-2,-5,4,1,,,,,,
5,1,-4,-3,4,-1,,,,,,
8,9,1,-9,3,5,,,,,,
11,14,3,-13,4,8,,,,,,
14,13,-1,-13,7,6,,,,,,
3,2,-1,-2,2,0,,,,,,
-10,-9,1,9,-5,-4,,,,,,
-9,-6,3,7,-6,-1,,,,,,
-5,-1,4,3,-4,1,,,,,,
0,5,5,-3,-3,5,,,,,,
-2,3,5,-1,-4,4,,,,,,
-3,2,5,0,-4,3,,,,,,
-3,0,3,1,-3,1,,,,,,
0,4,4,-2,-2,4,,,,,,
5,10,5,-8,0,7,,,,,,
17,21,4,-19,6,12,,,,,,
16,20,4,-18,6,12,,,,,,
7,12,5,-10,1,8,,,,,,
7,11,4,-9,1,7,,,,,,
9,12,3,-11,3,7,,,,,,
14,15,1,-15,6,8,,,,,,
10,13,3,-12,3,8,,,,,,
7,11,4,-9,1,7,,,,,,
9,10,1,-10,4,5,,,,,,
7,8,1,-8,3,4,,,,,,
2,5,3,-4,-1,4,,,,,,
3,7,4,-5,-1,5,,,,,,
6,11,5,-9,0,8,,,,,,
11,17,6,-14,2,11,,,,,,
13,19,6,-16,3,12,,,,,,
14,19,5,-17,4,12,,,,,,
11,13,2,-12,4,7,,,,,,
8,8,0,-8,4,4,,,,,,
6,5,-1,-5,3,2,,,,,,
-4,-4,0,4,-2,-2,,,,,,
-9,-8,1,8,-5,-3,,,,,,
-6,-5,1,5,-3,-2,,,,,,
-5,-4,1,4,-3,-1,,,,,,
-4,-3,1,3,-2,-1,,,,,,
-5,-2,3,3,-4,0,,,,,,
-3,1,4,1,-4,2,,,,,,
1,5,4,-3,-2,4,,,,,,
0,4,4,-2,-2,4,,,,,,
-1,4,5,-2,-3,4,,,,,,
-2,6,8,-2,-5,7,,,,,,
-5,2,7,1,-6,4,,,,,,
-7,-3,4,5,-5,0,,,,,,
-10,-7,3,8,-6,-2,,,,,,
-10,-7,3,8,-6,-2,,,,,,
-7,-5,2,6,-4,-1,,,,,,
-2,-1,1,1,-1,0,,,,,,
-1,0,1,0,-1,0,,,,,,
-6,-6,0,6,-3,-3,,,,,,
-7,-6,1,6,-4,-2,,,,,,
-6,-5,1,5,-3,-2,,,,,,
-2,-2,0,2,-1,-1,,,,,,
-1,-1,0,1,0,0,,,,,,
0,0,0,0,0,0,,,,,,
-1,0,1,0,-1,0,,,,,,
-2,-1,1,1,-1,0,,,,,,
-4,-2,2,3,-3,0,,,,,,
-8,-4,4,6,-6,0,,,,,,
-9,-5,4,7,-6,0,,,,,,
-7,-6,1,6,-4,-2,,,,,,
-5,-5,0,5,-2,-2,,,,,,
-5,-4,1,4,-3,-1,,,,,,
-9,-10,-1,10,-4,-5,,,,,,
-10,-13,-3,12,-3,-8,,,,,,
-7,-11,-4,9,-1,-7,,,,,,
-7,-11,-4,9,-1,-7,,,,,,
-9,-12,-3,11,-3,-7,,,,,,
-13,-15,-2,14,-5,-8,,,,,,
-10,-12,-2,11,-4,-7,,,,,,
-5,-6,-1,6,-2,-3,,,,,,
-4,-4,0,4,-2,-2,,,,,,
-4,-4,0,4,-2,-2,,,,,,
-7,-7,0,7,-3,-3,,,,,,
-7,-6,1,6,-4,-2,,,,,,
-6,-5,1,5,-3,-2,,,,,,
-8,-9,-1,9,-3,-5,,,,,,
-11,-12,-1,12,-5,-6,,,,,,
-12,-14,-2,13,-5,-8,,,,,,
-6,-10,-4,8,-1,-7,,,,,,
-2,-7,-5,5,2,-6,,,,,,
-4,-7,-3,6,0,-5,,,,,,
-6,-8,-2,7,-2,-5,,,,,,
-9,-10,-1,10,-4,-5,,,,,,
-13,-16,-3,15,-5,-9,,,,,,
-10,-14,-4,12,-3,-9,,,,,,
-5,-8,-3,7,-1,-5,,,,,,
-15,-17,-2,16,-6,-9,,,,,,
-19,-20,-1,20,-9,-10,,,,,,
-17,-15,2,16,-9,-6,,,,,,
-12,-10,2,11,-7,-4,,,,,,
-8,-7,1,7,-4,-3,,,,,,
-9,-10,-1,10,-4,-5,,,,,,
-11,-14,-3,13,-4,-8,,,,,,
-15,-19,-4,17,-5,-11,,,,,,
-14,-19,-5,17,-4,-12,,,,,,
-15,-21,-6,18,-4,-13,,,,,,
-20,-24,-4,22,-8,-14,,,,,,
-24,-28,-4,26,-10,-16,,,,,,
-24,-28,-4,26,-10,-16,,,,,,
-11,-14,-3,13,-4,-8,,,,,,
-4,-7,-3,6,0,-5,,,,,,
-2,-4,-2,3,0,-3,,,,,,
-6,-8,-2,7,-2,-5,,,,,,
-10,-12,-2,11,-4,-7,,,,,,
-15,-15,0,15,-7,-7,,,,,,
-13,-14,-1,14,-6,-7,,,,,,
-12,-13,-1,13,-5,-7,,,,,,
-10,-10,0,10,-5,-5,,,,,,
-9,-9,0,9,-4,-4,,,,,,
-7,-8,-1,8,-3,-4,,,,,,
-9,-11,-2,10,-3,-6,,,,,,
-11,-14,-3,13,-4,-8,,,,,,
-13,-16,-3,15,-5,-9,,,,,,
-13,-16,-3,15,-5,-9,,,,,,
-12,-15,-3,14,-4,-9,,,,,,
-11,-14,-3,13,-4,-8,,,,,,
-12,-15,-3,14,-4,-9,,,,,,
-13,-16,-3,15,-5,-9,,,,,,
-15,-17,-2,16,-6,-9,,,,,,
-16,-17,-1,17,-7,-9,,,,,,
-18,-17,1,17,-9,-8,,,,,,
-21,-20,1,20,-11,-9,,,,,,
-21,-21,0,21,-10,-10,,,,,,
-16,-18,-2,17,-7,-10,,,,,,
-16,-19,-3,18,-6,-11,,,,,,
-21,-25,-4,23,-8,-14,,,,,,
-19,-23,-4,21,-7,-13,,,,,,
-16,-20,-4,18,-6,-12,,,,,,
-12,-15,-3,14,-4,-9,,,,,,
-15,-18,-3,17,-6,-10,,,,,,
-19,-21,-2,20,-8,-11,,,,,,
-22,-23,-1,23,-10,-12,,,,,,
-26,-27,-1,27,-12,-14,,,,,,
-30,-31,-1,31,-14,-16,,,,,,
-22,-22,0,22,-11,-11,,,,,,
-16,-15,1,15,-8,-7,,,,,,
-15,-13,2,14,-8,-5,,,,,,
-13,-11,2,12,-7,-4,,,,,,
-11,-10,1,10,-6,-4,,,,,,
-11,-12,-1,12,-5,-6,,,,,,
-13,-16,-3,15,-5,-9,,,,,,
-17,-21,-4,19,-6,-12,,,,,,
-17,-22,-5,20,-6,-13,,,,,,
-18,-23,-5,21,-6,-14,,,,,,
-19,-24,-5,22,-7,-14,,,,,,
-17,-22,-5,20,-6,-13,,,,,,
-14,-19,-5,17,-4,-12,,,,,,
-18,-20,-2,19,-8,-11,,,,,,
-19,-20,-1,20,-9,-10,,,,,,
-21,-21,0,21,-10,-10,,,,,,
-18,-19,-1,19,-8,-10,,,,,,
-17,-18,-1,18,-8,-9,,,,,,
-18,-18,0,18,-9,-9,,,,,,
-21,-21,0,21,-10,-10,,,,,,
-24,-24,0,24,-12,-12,,,,,,
-26,-26,0,26,-13,-13,,,,,,
-28,-28,0,28,-14,-14,,,,,,
-32,-32,0,32,-16,-16,,,,,,
-32,-33,-1,33,-15,-17,,,,,,
-30,-32,-2,31,-14,-17,,,,,,
-26,-26,0,26,-13,-13,,,,,,
-26,-25,1,25,-13,-12,,,,,,
-26,-24,2,25,-14,-11,,,,,,
-21,-17,4,19,-12,-6,,,,,,
-17,-13,4,15,-10,-4,,,,,,
-14,-11,3,12,-8,-4,,,,,,
-32,-27,5,29,-18,-11,,,,,,
-39,-33,6,36,-22,-13,,,,,,
-32,-26,6,29,-19,-10,,,,,,
-31,-26,5,28,-18,-10,,,,,,
-30,-27,3,28,-16,-12,,,,,,
-29,-26,3,27,-16,-11,,,,,,
-29,-26,3,27,-16,-11,,,,,,
-30,-26,4,28,-17,-11,,,,,,
-30,-27,3,28,-16,-12,,,,,,
-30,-27,3,28,-16,-12,,,,,,
-29,-28,1,28,-15,-13,,,,,,
-28,-26,2,27,-15,-12,,,,,,
-26,-23,3,24,-14,-10,,,,,,
-22,-20,2,21,-12,-9,,,,,,
-23,-21,2,22,-12,-9,,,,,,
-27,-24,3,25,-15,-10,,,,,,
-33,-28,5,30,-19,-11,,,,,,
-38,-31,7,34,-22,-12,,,,,,
-40,-32,8,36,-24,-12,,,,,,
-29,-23,6,26,-17,-8,,,,,,
-19,-15,4,17,-11,-5,,,,,,
-25,-22,3,23,-14,-9,,,,,,
-27,-26,1,26,-14,-12,,,,,,
-28,-29,-1,29,-13,-15,,,,,,
-27,-30,-3,29,-12,-16,,,,,,
-25,-29,-4,27,-10,-16,,,,,,
-22,-27,-5,25,-8,-16,,,,,,
-20,-25,-5,23,-7,-15,,,,,,
-20,-24,-4,22,-8,-14,,,,,,
-27,-31,-4,29,-11,-17,,,,,,
-31,-34,-3,33,-14,-18,,,,,,
-34,-36,-2,35,-16,-19,,,,,,
-32,-35,-3,34,-14,-19,,,,,,
-32,-35,-3,34,-14,-19,,,,,,
-31,-34,-3,33,-14,-18,,,,,,
-27,-31,-4,29,-11,-17,,,,,,
-25,-29,-4,27,-10,-16,,,,,,
-30,-33,-3,32,-13,-18,,,,,,
-31,-34,-3,33,-14,-18,,,,,,
-29,-33,-4,31,-12,-18,,,,,,
-33,-37,-4,35,-14,-20,,,,,,
-35,-40,-5,38,-15,-22,,,,,,
-36,-43,-7,40,-14,-25,,,,,,
-36,-42,-6,39,-15,-24,,,,,,
-33,-38,-5,36,-14,-21,,,,,,
-26,-30,-4,28,-11,-17,,,,,,
-25,-29,-4,27,-10,-16,,,,,,
-29,-32,-3,31,-13,-17,,,,,,
-33,-35,-2,34,-15,-18,,,,,,
-35,-36,-1,36,-17,-18,,,,,,
-35,-35,0,35,-17,-17,,,,,,
-35,-37,-2,36,-16,-19,,,,,,
-36,-39,-3,38,-16,-21,,,,,,
-38,-42,-4,40,-17,-23,,,,,,
-40,-44,-4,42,-18,-24,,,,,,
-42,-45,-3,44,-19,-24,,,,,,
-39,-44,-5,42,-17,-24,,,,,,
-38,-44,-6,41,-16,-25,,,,,,
-36,-42,-6,39,-15,-24,,,,,,
-36,-41,-5,39,-15,-23,,,,,,
-35,-39,-4,37,-15,-21,,,,,,
-27,-33,-6,30,-10,-19,,,,,,
-29,-34,-5,32,-12,-19,,,,,,
-34,-38,-4,36,-15,-21,,,,,,
-42,-44,-2,43,-20,-23,,,,,,
-45,-46,-1,46,-22,-23,,,,,,
-39,-40,-1,40,-19,-20,,,,,,
-40,-40,0,40,-20,-20,,,,,,
-42,-41,1,41,-21,-20,,,,,,
-41,-43,-2,42,-19,-22,,,,,,
-41,-44,-3,43,-19,-23,,,,,,
-40,-44,-4,42,-18,-24,,,,,,
-44,-49,-5,47,-19,-27,,,,,,
-48,-53,-5,51,-21,-29,,,,,,
-50,-54,-4,52,-23,-29,,,,,,
-51,-55,-4,53,-23,-29,,,,,,
-50,-54,-4,52,-23,-29,,,,,,
-46,-49,-3,48,-21,-26,,,,,,
-41,-43,-2,42,-19,-22,,,,,,
-35,-37,-2,36,-16,-19,,,,,,
-40,-39,1,39,-20,-19,,,,,,
-40,-39,1,39,-20,-19,,,,,,
-35,-37,-2,36,-16,-19,,,,,,
-36,-39,-3,38,-16,-21,,,,,,
-38,-42,-4,40,-17,-23,,,,,,
-37,-39,-2,38,-17,-20,,,,,,
-41,-42,-1,42,-20,-21,,,,,,
-46,-48,-2,47,-22,-25,,,,,,
-48,-52,-4,50,-22,-28,,,,,,
-50,-55,-5,53,-22,-30,,,,,,
-49,-55,-6,52,-21,-30,,,,,,
-48,-54,-6,51,-21,-30,,,,,,
-48,-53,-5,51,-21,-29,,,,,,
-48,-52,-4,50,-22,-28,,,,,,
-47,-50,-3,49,-22,-26,,,,,,
-47,-49,-2,48,-22,-25,,,,,,
-48,-49,-1,49,-23,-25,,,,,,
-46,-47,-1,47,-22,-24,,,,,,
-43,-42,1,42,-22,-20,,,,,,
-46,-44,2,45,-24,-21,,,,,,
-50,-48,2,49,-26,-23,,,,,,
-55,-55,0,55,-27,-27,,,,,,
-55,-57,-2,56,-26,-29,,,,,,
-51,-54,-3,53,-24,-28,,,,,,
-49,-53,-4,51,-22,-28,,,,,,
-48,-53,-5,51,-21,-29,,,,,,
